Name ,Region ,LGA Name,Venue type ,"Expenditure
1 Jul 22 - 31 Dec 22","Expenditure
1 Jan 23 - 30 Jun 23","Expenditure
01 Jul 22 - 30 Jun 23","Average EGM Numbers  
in June 2023"
CASA D'ABRUZZO CLUB,Metro,City of Whittlesea,Club,3470689.37,3304888.94,6775578.3100000005,75
CASTELLO'S CARDINIA HOTEL,Metro,Shire of Cardinia,Hotel,3654273.69,3111431.18,6765704.87,70
CAULFIELD GLASSHOUSE,Metro,City of Glen Eira,Club,4801906.43,4542718.83,9344625.26,105
CAULFIELD RSL,Metro,City of Glen Eira,Club,1457360.08,1211770.45,2669130.5300000003,52
CENTURY CITY WALK,Metro,City of Monash,Hotel,6844883.92,6490407.86,13335291.780000001,65
CHALAMBAR GOLF CLUB,Country,Rural City of Ararat,Club,634232.47,548184.3,1182416.77,33
CHELSEA HEIGHTS HOTEL,Metro,City of Kingston,Hotel,2691290.52,2692142.18,5383432.7,40
CHELTENHAM MOORABBIN RSL,Metro,City of Kingston,Club,965288.45,965498.48,1930786.93,41
CHERRY HILL TAVERN,Metro,City of Manningham,Hotel,4206804.68,3878101.58,8084906.26,50
CHIRNSIDE PARK COUNTRY CLUB,Metro,Shire of Yarra Ranges,Club,1040820.05,1066098.06,2106918.1100000003,37
CITY BOWLS CLUB COLAC,Country,Shire of Colac-Otway,Club,598868.42,514985.38,1113853.8,20
CITY FAMILY HOTEL,Country,City of Greater Bendigo,Club,1052688.14,960294.59,2012982.73,39
CITY MEMORIAL BOWLS CLUB,Country,City of Warrnambool,Club,2358388.41,2124348.01,4482736.42,38
CLAYTON BOWLS CLUB,Metro,City of Kingston,Club,969140.98,998548.21,1967689.19,29
CLAYTON RSL,Metro,City of Monash,Club,2229216.16,2169470.4,4398686.5600000005,71
CLIFTON SPRINGS GOLF CLUB,Country,City of Greater Geelong,Club,2211495.87,1968845.47,4180341.34,50
CLOCKS AT FLINDERS STREET STATION,Metro,City of Melbourne,Club,6099442.99,5942398.44,12041841.43,100
CLUB HOTEL,Metro,City of Maroondah,Hotel,0,0,0,0
CLUB HOTEL (FERNTREE GULLY),Metro,City of Knox,Hotel,2736264.79,2324377.77,5060642.5600000005,40
CLUB HOTEL (WARRAGUL),Country,Shire of Baw Baw,Club,1157441.41,984910.16,2142351.57,30
CLUB ITALIA SPORTING CLUB,Metro,City of Brimbank,Club,3668842.56,3387536.08,7056378.640000001,60
CLUB KILSYTH,Metro,City of Maroondah,Club,4521862.33,3810487.83,8332350.16,105
CLUB LAVERTON,Metro,City of Hobsons Bay,Club,3816567.57,3377524.06,7194091.63,60
CLUB LEEDS,Metro,City of Maribyrnong,Club,2075514.55,1816189.13,3891703.6799999997,30
CLUB OFFICER,Metro,Shire of Cardinia,Club,3312429.55,3087058.27,6399487.82,60
CLUB RINGWOOD,Metro,City of Maroondah,Club,2296818.37,1877855.52,4174673.89,82
COBDEN GOLF CLUB,Country,Shire of Corangamite,Club,541944.99,478443.21,1020388.2,28
COBRAM HOTEL,Country,Shire of Moira,Hotel,1651211.85,1486276.12,3137487.97,43
COLAC BOWLING CLUB,Country,Shire of Colac-Otway,Club,487100.62,445249.47,932350.09,19
COLAC RSL,Country,Shire of Colac-Otway,Club,403895.33,294527.92,698423.25,25
COMMERCIAL HOTEL (CAMPERDOWN),Country,Shire of Corangamite,Hotel,1041238.09,1069812.95,2111051.04,29
COMMERCIAL HOTEL (SWAN HILL),Country,Rural City of Swan Hill,Hotel,1302409.77,1112134.33,2414544.1,14
COMMERCIAL TAVERNER,Metro,City of Wyndham,Hotel,8747879.43,7652478.07,16400357.5,75
COOLAROO TAVERNER,Metro,City of Hume,Hotel,3835553.11,3628313.61,7463866.72,47
CORRYONG SPORTING COMPLEX,Country,Shire of Towong,Club,179668.13,127966.7,307634.83,10
COURT HOUSE HOTEL (BACCHUS MARSH),Country,Shire of Moorabool,Hotel,2977640.16,2561572.02,5539212.18,40
COURT HOUSE HOTEL (FOOTSCRAY),Metro,City of Maribyrnong,Hotel,2296714.13,1885609.01,4182323.1399999997,21
COURT JESTER HOTEL,Metro,City of Stonnington,Hotel,4175657.28,3909417.08,8085074.359999999,48
CRAIGIEBURN SPORTING CLUB,Metro,City of Hume,Club,6200825.37,5552362.96,11753188.33,70
CRAIG'S ROYAL HOTEL,Country,City of Ballarat,Hotel,3379108.86,3084599.96,6463708.82,45
CRAMERS HOTEL,Metro,City of Darebin,Hotel,5821107.6,5548969.6,11370077.2,79
CRANBOURNE SILKS,Metro,City of Casey,Club,1685369.28,1608715.5,3294084.7800000003,50
CROSS KEYS HOTEL,Metro,City of Moonee Valley,Hotel,2255229.46,2205727.46,4460956.92,40
CROWN HOTEL,Metro,Shire of Yarra Ranges,Hotel,3081834.49,2754450.78,5836285.27,68
CROXTON PARK HOTEL,Metro,City of Darebin,Hotel,2769898.6,2392427.25,5162325.85,54
CROYDON HOTEL,Metro,City of Maroondah,Hotel,5006944.56,4949087.25,9956031.809999999,105
CUMBERLAND HOTEL,Country,Shire of Mount Alexander,Hotel,1610940.48,1442668.97,3053609.45,30
DANDENONG CLUB,Metro,City of Greater Dandenong,Club,5868486.2,5041644.55,10910130.75,103
DANDENONG RSL,Metro,City of Greater Dandenong,Club,4451044.66,3941882.6,8392927.26,63
DANDENONG WORKERS SOCIAL CLUB,Metro,City of Greater Dandenong,Club,1301301.53,1211167.6,2512469.13,77
DAREBIN RSL,Metro,City of Darebin,Club,2420208.4,2347007.56,4767215.96,65
DAVA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1585461.55,1480207.62,3065669.17,32
DAYLESFORD BOWLING CLUB,Country,Shire of Hepburn,Club,720303.37,660189.99,1380493.3599999999,32
DEER PARK CLUB,Metro,City of Brimbank,Club,7219155.66,6959797.53,14178953.190000001,80
DEER PARK HOTEL,Metro,City of Brimbank,Hotel,11317400.27,11462892.32,22780292.59,80
DERRIMUT HOTEL,Metro,City of Brimbank,Hotel,4914409.63,4278616.22,9193025.85,55
DIAMOND CREEK HOTEL,Metro,Shire of Nillumbik,Hotel,3090714.98,2601818.48,5692533.46,50
DICK WHITTINGTON TAVERN,Metro,City of Port Phillip,Hotel,830415.5,855893.79,1686309.29,40
DINGLEY INTERNATIONAL HOTEL,Metro,City of Kingston,Hotel,9133087.26,7670662.79,16803750.05,90
DONCASTER HOTEL,Metro,City of Manningham,Hotel,8426916.39,7642232.64,16069149.030000001,85
DORSET GARDENS HOTEL,Metro,City of Maroondah,Hotel,10850760.38,9888287.51,20739047.89,97
DROMANA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2626000.47,2382975.08,5008975.550000001,41
DRUMS HOTEL,Metro,City of Moreland,Hotel,4758448.18,4405314.09,9163762.27,75
DUKE OF EDINBURGH,Metro,City of Moreland,Hotel,4196101.64,3522488.63,7718590.27,50
EASTWOOD GOLF CLUB,Metro,City of Maroondah,Club,65996.19,62486.93,128483.12,19
ECHUCA HOTEL,Country,Shire of Campaspe,Hotel,521056.66,552025.18,1073081.84,30
ECHUCA WORKERS AND SERVICES CLUB,Country,Shire of Campaspe,Club,2107629.54,2107391.49,4215021.03,84
EDITHVALE - CHELSEA RSL,Metro,City of Kingston,Club,2272412.81,2195777.74,4468190.550000001,80
EDWARDES LAKE HOTEL,Metro,City of Darebin,Hotel,7850715.62,7364722.2,15215437.82,100
ELGIN'S,Country,Rural City of Wodonga,Hotel,3766024.5,3231868,6997892.5,80
ELSTERNWICK HOTEL,Metro,City of Port Phillip,Hotel,891882.52,772352.06,1664234.58,28
ELTHAM HOTEL,Metro,Shire of Nillumbik,Hotel,2014963.26,1893345.61,3908308.87,40
EPPING HOTEL,Metro,City of Whittlesea,Hotel,5576906.77,5178222,10755128.77,40
EPPING PLAZA HOTEL,Metro,City of Whittlesea,Hotel,13190059.83,11591052.93,24781112.759999998,99
EPPING RSL,Metro,City of Whittlesea,Club,2890182.5,2858525.41,5748707.91,45
ESPLANADE HOTEL (INVERLOCH),Country,Shire of Bass Coast,Hotel,728532.18,882215.87,1610748.05,17
ESSENDON FOOTBALL & COMMUNITY SPORTING C,Metro,City of Moonee Valley,Club,3354041.18,2913804.19,6267845.37,100
EXCELSIOR HOTEL,Metro,City of Whittlesea,Hotel,12013230.45,10888653.78,22901884.229999997,89
FAMILY HOTEL,Country,Shire of Baw Baw,Hotel,1958414.54,1823917.66,3782332.2,28
FAWKNER RSL,Metro,City of Moreland,Club,782377.95,599545.19,1381923.14,33
FERNTREE GULLY BOWLING CLUB,Metro,City of Knox,Club,485874.71,470110.39,955985.1000000001,34
FERNTREE GULLY HOTEL,Metro,City of Knox,Hotel,2281244.18,2037838.77,4319082.95,49
FIRST & LAST HOTEL,Metro,City of Moreland,Hotel,5681736.78,5247329.17,10929065.95,64
FLYING HORSE BAR AND BREWERY,Country,City of Warrnambool,Hotel,228806.87,191611.67,420418.54000000004,8
FORESTERS ARMS HOTEL,Metro,City of Monash,Hotel,2003136.33,1917680.37,3920816.7,46
FOSTER GOLF CLUB,Country,Shire of South Gippsland,Club,479365.77,431966.77,911332.54,25
FOUNTAIN GATE TAVERNER,Metro,City of Casey,Hotel,7032725.09,6901123.45,13933848.54,85
FRANKSTON RSL,Metro,City of Frankston,Club,5690478.64,5382128.92,11072607.559999999,82
FRECCIA AZZURRA CLUB,Metro,City of Kingston,Club,791247.03,520408.72,1311655.75,35
FURLAN CLUB,Metro,City of Darebin,Club,196203.94,247009.25,443213.19,30
FYANSFORD HOTEL,Country,City of Greater Geelong,Hotel,1727839.44,1574547.34,3302386.7800000003,39
GATEWAY HOTEL,Country,City of Greater Geelong,Hotel,3827797.93,3230005.07,7057803,50
GEELONG COMBINED LEAGUES CLUB,Country,City of Greater Geelong,Club,5031564.93,4750790.72,9782355.649999999,105
GEELONG RSL,Country,City of Greater Geelong,Club,2379219.55,2604692.97,4983912.52,72
GEORGE HOTEL,Country,City of Ballarat,Hotel,845477.67,811581.54,1657059.21,28
GLADSTONE PARK HOTEL,Metro,City of Hume,Hotel,11560387.52,10583021.12,22143408.64,86
GLENGALA HOTEL,Metro,City of Brimbank,Hotel,5180457.42,4643958.13,9824415.55,50
GLENROY RSL,Metro,City of Moreland,Club,3251758.63,2860471.57,6112230.199999999,40
GOLDEN FLEECE HOTEL (MELTON),Metro,Shire of Melton,Hotel,5289225.92,4528200.83,9817426.75,45
GOLDEN NUGGET,Metro,City of Melbourne,Hotel,4436621.06,3898157.37,8334778.43,60
GOLF HOUSE HOTEL,Country,City of Ballarat,Hotel,1096059.65,942002.84,2038062.4899999998,30
GORDON HOTEL,Country,Shire of Glenelg,Hotel,1016216.87,908348.44,1924565.31,23
GOULBURN VALLEY HOTEL,Country,City of Greater Shepparton,Hotel,3460624.78,3217950.67,6678575.449999999,40
GRAND CENTRAL HOTEL (HAMILTON),Country,Shire of Southern Grampians,Hotel,2340844.17,2109592.16,4450436.33,40
GRAND HOTEL (FRANKSTON),Metro,City of Frankston,Hotel,3365231.85,3132984.81,6498216.66,64
GRAND HOTEL (MORNINGTON),Metro,Shire of Mornington Peninsula,Hotel,5621209.17,5017559.56,10638768.73,70
GRAND JUNCTION HOTEL,Country,City of Latrobe,Hotel,3371669.05,3309345.75,6681014.8,34
GRAND ON DEAKIN,Country,Rural City of Mildura,Hotel,740747.8,748454.51,1489202.31,15
GRAND TERMINUS HOTEL,Country,Shire of East Gippsland,Hotel,1493573.63,1291398.55,2784972.1799999997,23
GREAT WESTERN HOTEL,Country,City of Greater Geelong,Hotel,1952802.64,1657553.72,3610356.36,36
GREEN GULLY SOCCER CLUB,Metro,City of Brimbank,Club,3069767.19,2867327.68,5937094.87,70
GREENSBOROUGH HOTEL,Metro,City of Banyule,Hotel,1216050.42,1068905.3,2284955.7199999997,30
GREENSBOROUGH RSL,Metro,City of Banyule,Club,2868350.64,2824622.24,5692972.880000001,78
GREYHOUNDS ENTERTAINMENT,Metro,City of Greater Dandenong,Club,6732360.22,5695665.6,12428025.82,93
GROSVENOR HOTEL,Metro,City of Port Phillip,Hotel,399652.12,396880.64,796532.76,22
GROVEDALE HOTEL,Country,City of Greater Geelong,Hotel,6145756.55,5818933.58,11964690.129999999,80
HALLAM TAVERNER,Metro,City of Casey,Hotel,8936311.26,7334985.24,16271296.5,80
HAMPTON BOWLS CLUB,Metro,City of Bayside,Club,372596.14,268891.18,641487.3200000001,30
HAMPTON PARK TAVERN,Metro,City of Casey,Hotel,8568059.34,7540296.81,16108356.149999999,73
HARP OF ERIN HOTEL,Metro,City of Boroondara,Hotel,4394894.39,4097488.6,8492382.99,47
HASTINGS CRICKET & FOOTBALL SOCIAL CLUB,Metro,Shire of Mornington Peninsula,Club,1466976.51,1331684.42,2798660.9299999997,50
HEADQUARTERS TAVERN,Metro,City of Melbourne,Club,1260610.65,1261065.45,2521676.0999999996,80
HEALESVILLE RSL,Metro,Shire of Yarra Ranges,Club,1229391.4,1124192.34,2353583.74,50
HIGHETT RETURNED & SERVICES CLUB,Metro,City of Kingston,Club,1252452.09,1124297.72,2376749.81,41
HIGHLANDS HOTEL,Metro,City of Hume,Hotel,9446237.1,8403862.48,17850099.58,80
HIGHPOINT TAVERNER,Metro,City of Maribyrnong,Hotel,4306390.57,3689584.42,7995974.99,67
HIGHWAYS SANDOWN,Metro,City of Greater Dandenong,Club,11093930.47,9697843.81,20791774.28,90
HILL TOP GOLF AND COUNTRY CLUB,Country,City of Greater Shepparton,Club,185206.12,232767.41,417973.53,10
HOGANS HOTEL,Country,Shire of Mitchell,Hotel,2932401.71,2532645.17,5465046.88,65
HOPPERS CROSSING CLUB,Metro,City of Wyndham,Club,3003174.82,2794306.55,5797481.369999999,91
HOPPERS CROSSING SPORTS CLUB,Metro,City of Wyndham,Club,2392155.27,2193082.81,4585238.08,55
HORSHAM RSL,Country,Rural City of Horsham,Club,1262185.38,1198599.6,2460784.98,36
HORSHAM SPORTS & COMMUNITY CLUB,Country,Rural City of Horsham,Club,3618244.06,3341981.74,6960225.800000001,83
HOTEL 520 ON SAYERS,Metro,City of Wyndham,Hotel,7116220.92,6316879.97,13433100.89,65
ITALIAN AUSTRALIAN SPORTING AND SOCIAL C,Country,City of Latrobe,Club,2222260.86,1978157.13,4200417.99,42
ITALIAN SPORTS CLUB OF WERRIBEE,Metro,City of Wyndham,Club,3863094.49,3048479.29,6911573.78,70
IVANHOE HOTEL,Metro,City of Banyule,Hotel,5720476.99,4861487.16,10581964.15,100
JOKERS ON RYRIE,Country,City of Greater Geelong,Hotel,2181762.74,2184441.37,4366204.11,47
JUNCTION HOTEL,Metro,City of Darebin,Hotel,2287036.46,1966074.21,4253110.67,46
KANGAROO FLAT SPORTS CLUB,Country,City of Greater Bendigo,Club,1491920.73,1404205.32,2896126.05,60
KARINGAL BOWLING CLUB,Metro,City of Frankston,Club,1130835,962554.64,2093389.6400000001,29
KEALBA HOTEL,Metro,City of Brimbank,Hotel,12905358.89,11291358.1,24196716.990000002,86
KEILOR EAST RSL,Metro,City of Moonee Valley,Club,1421066.83,1430081.99,2851148.8200000003,39
KEILOR HOTEL,Metro,City of Brimbank,Hotel,3052629.83,2542107.2,5594737.03,50
KERANG SPORTS AND ENTERTAINMENT VENUE,Country,Shire of Gannawarra,Club,1263165.12,1054783.07,2317948.1900000004,45
KEYSBOROUGH HOTEL,Metro,City of Greater Dandenong,Hotel,12164155.76,11882059.08,24046214.84,89
KILMORE TRACKSIDE,Country,Shire of Mitchell,Club,3837052.03,3641464.97,7478517,76
KINGS CREEK HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2677422.73,2271416.13,4948838.859999999,33
KIRKPATRICKS HOTEL,Metro,Shire of Mornington Peninsula,Hotel,671665.56,570548.65,1242214.21,40
KNOX CLUB,Metro,City of Knox,Club,4039427.27,4004396.33,8043823.6,100
KNOX TAVERN,Metro,City of Knox,Hotel,4269382.09,3957661.49,8227043.58,73
KOORINGAL GOLF CLUB,Metro,City of Hobsons Bay,Club,2099477.53,1724511.4,3823988.9299999997,61
KORUMBURRA HOTEL,Country,Shire of South Gippsland,Hotel,1059576.99,1049071.82,2108648.81,16
KYABRAM CLUB,Country,Shire of Campaspe,Club,2064452.07,1813829.12,3878281.1900000004,53
KYNETON BOWLING CLUB,Country,Shire of Macedon Ranges,Club,857611.38,782865.6,1640476.98,25
KYNETON RSL,Country,Shire of Macedon Ranges,Club,1132182.9,1108739.16,2240922.0599999996,28
LAKES ENTRANCE BOWLS CLUB,Country,Shire of East Gippsland,Club,2542227.94,2506085.45,5048313.390000001,63
LAKES ENTRANCE RSL,Country,Shire of East Gippsland,Club,1280197.6,1165667.39,2445864.99,35
LAKESIDE CLUB,Country,Shire of Wellington,Club,406696.26,355102.43,761798.69,33
LALOR BOWLING CLUB,Metro,City of Whittlesea,Club,1540885.05,1161069.53,2701954.58,36
LANGWARRIN HOTEL,Metro,City of Frankston,Hotel,3999000.35,4025897.63,8024897.98,62
LARA HOTEL,Country,City of Greater Geelong,Hotel,1859456.02,1518345.88,3377801.9,40
LARA SPORTING CLUB,Country,City of Greater Geelong,Club,1512491.07,1377118.8,2889609.87,50
LEONGATHA RSL,Country,Shire of South Gippsland,Club,1360982.92,1400302.33,2761285.25,44
LEOPOLD SPORTSMANS CLUB,Country,City of Greater Geelong,Club,2482656.32,2408645.36,4891301.68,35
LINCOLNSHIRE ARMS HOTEL,Metro,City of Moonee Valley,Hotel,2263533.14,1977750.18,4241283.32,38
LONG BEACH HOTEL,Metro,City of Kingston,Hotel,2748133.99,2507847.14,5255981.130000001,49
LORD OF THE ISLES TAVERN,Country,City of Greater Geelong,Hotel,3774396.51,3355693.48,7130089.99,60
LORNE HOTEL,Country,Shire of Surf Coast,Hotel,181276.8,227983.42,409260.22,10
LOWER PLENTY HOTEL,Metro,City of Banyule,Hotel,4101775.55,3559519.8,7661295.35,85
LYNBROOK HOTEL,Metro,City of Casey,Hotel,5690723,5165959.78,10856682.780000001,55
MAC'S HOTEL (MELTON),Metro,Shire of Melton,Hotel,8454620.59,7275731.33,15730351.92,82
MAC'S HOTEL (WARRNAMBOOL),Country,City of Warrnambool,Hotel,2521351.94,2297411.47,4818763.41,31
MAFFRA COMMUNITY SPORTS CLUB,Country,Shire of Wellington,Club,1682406.79,1658747.93,3341154.7199999997,35
MAIL EXCHANGE HOTEL,Metro,City of Melbourne,Hotel,5717986.74,6039720.03,11757706.77,80
MALVERNVALE HOTEL,Metro,City of Stonnington,Hotel,1773661.25,1595119.4,3368780.65,30
MANHATTAN HOTEL,Metro,City of Maroondah,Hotel,4845869.17,4238512.71,9084381.879999999,72
MANNINGHAM CLUB,Metro,City of Manningham,Club,2028217.18,2037775.92,4065993.0999999996,90
MANSFIELD GOLF CLUB,Country,Shire of Mansfield,Club,909639.05,836234.83,1745873.88,40
MARINE HOTEL,Metro,City of Bayside,Hotel,1024372.1,813948.13,1838320.23,40
MAROONDAH SPORTS CLUB,Metro,City of Maroondah,Club,0,0,0,0
MARYBOROUGH GOLF CLUB,Country,Shire of Central Goldfields,Club,1054727.56,1034496.42,2089223.98,40
MARYBOROUGH HIGHLAND SOCIETY,Country,Shire of Central Goldfields,Club,3495033.82,2951133.76,6446167.58,59
MATTHEW FLINDERS TAVERNER,Metro,City of Monash,Hotel,5821835.21,5397388.15,11219223.36,75
MCCARTINS HOTEL,Country,Shire of South Gippsland,Hotel,697288.56,625533.44,1322822,20
MCKINNON HOTEL,Metro,City of Glen Eira,Hotel,1601223.09,1522539.34,3123762.43,45
MEADOW INN HOTEL,Metro,City of Hume,Hotel,6534735.74,6106380.38,12641116.120000001,70
MELTON COUNTRY CLUB,Metro,Shire of Melton,Club,4380735.61,4072627.16,8453362.77,90
MENTONE RSL,Metro,City of Kingston,Club,315958.24,237426.57,553384.81,25
MERBEIN CITIZENS CLUB,Country,Rural City of Mildura,Club,810791.56,640276.33,1451067.8900000001,20
PULLMAN MELBOURNE ON SWANSTON,Metro,City of Melbourne,Hotel,7048457.62,7038127.85,14086585.469999999,89
MIDLANDS GOLF CLUB,Country,City of Ballarat,Club,1148633.98,1081217.73,2229851.71,32
MILANO'S HOTEL,Metro,City of Bayside,Hotel,0,0,0,0
MILDURA GATEWAY TAVERN,Country,Rural City of Mildura,Hotel,8576696.89,7494863.8,16071560.690000001,75
MILDURA GOLF CLUB,Country,Rural City of Mildura,Club,391217.97,304971.05,696189.02,20
MILDURA RSL,Country,Rural City of Mildura,Club,3764229.28,3551581.16,7315810.4399999995,45
MILDURA WORKING MANS SPORTS & SOCIAL CLU,Country,Rural City of Mildura,Club,4089371.3,3799940.75,7889312.05,67
MILLERS INN HOTEL,Metro,City of Hobsons Bay,Hotel,7341331.44,6608565.04,13949896.48,70
MITCHAM HOTEL,Metro,City of Whitehorse,Hotel,3450651.47,3012616.55,6463268.02,60
MITCHELL RIVER TAVERN,Country,Shire of East Gippsland,Hotel,714868.43,735849.14,1450717.57,16
MOE HOTEL,Country,City of Latrobe,Hotel,575688.44,546724.12,1122412.56,22
MOE RACING CLUB,Country,City of Latrobe,Club,4263659.51,3488383.88,7752043.39,75
MOE RSL CLUB,Country,City of Latrobe,Club,1788130.58,1516395.22,3304525.8,45
MONASH HOTEL,Metro,City of Monash,Hotel,3044495.41,2915180.8,5959676.21,44
MONBULK BOWLING CLUB,Metro,Shire of Yarra Ranges,Club,861466.41,807958.55,1669424.96,40
MONTMORENCY RSL,Metro,City of Banyule,Club,940190.11,891027.09,1831217.2,50
MOONEE VALLEY RACING CLUB,Metro,City of Moonee Valley,Club,1873647.65,1760761.53,3634409.1799999997,105
MOOROOPNA GOLF CLUB,Country,City of Greater Shepparton,Club,1629796.09,1647869.17,3277665.26,40
MORDIALLOC SPORTING CLUB,Metro,City of Kingston,Club,2169986.87,1855956.94,4025943.81,82
MORELAND HOTEL,Metro,City of Moreland,Hotel,3763134.12,3529586.88,7292721,70
MORNINGTON ON TANTI HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1504949.95,1355256.42,2860206.37,40
MORWELL BOWLING CLUB,Country,City of Latrobe,Club,3036401.72,2752865.47,5789267.19,69
MORWELL CLUB,Country,City of Latrobe,Club,785272.97,776728.78,1562001.75,35
MORWELL HOTEL,Country,City of Latrobe,Hotel,977485.39,875729.02,1853214.4100000001,15
MORWELL RSL,Country,City of Latrobe,Club,2039072.77,1831125.99,3870198.76,46
MOTOR CLUB HOTEL,Metro,City of Casey,Hotel,6710292.53,6207982.49,12918275.02,70
MOUNTAIN VIEW HOTEL,Metro,City of Monash,Hotel,4824480.56,4292505.69,9116986.25,62
MULGRAVE COUNTRY CLUB,Metro,City of Monash,Club,6528873.86,5892208.54,12421082.4,105
MVRC JUNCTION CLUB,Metro,City of Moonee Valley,Club,2677409.57,2480292.77,5157702.34,80
MVRC LEIGHOAK CLUB,Metro,City of Monash,Club,3616532.96,3580069.63,7196602.59,92
MYRTLEFORD SAVOY SPORTING CLUB,Country,Shire of Alpine,Club,593083.2,535596.72,1128679.92,40
NAGAMBIE LAKES ENTERTAINMENT CENTRE,Country,Shire of Strathbogie,Club,1025654.5,1018025.27,2043679.77,32
NEW BAY HOTEL,Metro,City of Bayside,Hotel,1436345.73,1237644.52,2673990.25,50
NEWBOROUGH BOWLING CLUB,Country,City of Latrobe,Club,593262.71,517029.7,1110292.41,23
NEWMARKET TAVERN,Metro,City of Moonee Valley,Hotel,5381270.17,5119638.31,10500908.48,68
NOBLE PARK FOOTBALL SOCIAL CLUB,Metro,City of Greater Dandenong,Club,3122353.47,2841017.93,5963371.4,50
NOBLE PARK RSL,Metro,City of Greater Dandenong,Club,1949251.5,1769832.79,3719084.29,35
NORLANE HOTEL,Country,City of Greater Geelong,Hotel,4403091.83,3878064.92,8281156.75,84
NORTH BALLARAT SPORTS CLUB,Country,City of Ballarat,Club,2484641.58,1916098.65,4400740.23,70
NORTHCOTE PARK FOOTBALL CLUB,Metro,City of Moreland,Club,1266598.33,1525745.05,2792343.38,85
NUMURKAH GOLF & BOWLS CLUB,Country,Shire of Moira,Club,1302174.5,1189100.05,2491274.55,60
OAKLEIGH JUNCTION HOTEL,Metro,City of Monash,Hotel,2750889.92,2414780.92,5165670.84,45
OCEAN GROVE BOWLING CLUB,Country,City of Greater Geelong,Club,2495662.82,2618209.3,5113872.119999999,60
OLD ENGLAND HOTEL,Metro,City of Banyule,Hotel,6057920.67,5963899.1,12021819.77,93
OLINDA CREEK HOTEL,Metro,Shire of Yarra Ranges,Hotel,1829175.68,1561188.34,3390364.02,47
OLIVE TREE HOTEL,Metro,City of Hume,Hotel,3328940.83,3224355.99,6553296.82,43
OLYMPIC HOTEL,Metro,City of Darebin,Hotel,5543478.75,4854513.57,10397992.32,80
OUYEN CLUB,Country,Rural City of Mildura,Club,147326.15,151302.45,298628.6,5
PAKENHAM HOTEL,Metro,Shire of Cardinia,Hotel,3641633.26,3109973.81,6751607.07,70
PALACE HOTEL,Metro,City of Boroondara,Hotel,2170018.06,2332453.34,4502471.4,40
PARKVIEW HOTEL,Metro,City of Yarra,Hotel,1583988.57,1324368.11,2908356.68,30
PASCOE VALE RSL,Metro,City of Moreland,Club,1281711.94,1187460.56,2469172.5,47
PASCOE VALE TAVERNER HOTEL,Metro,City of Moreland,Hotel,3114513.94,2686631.03,5801144.97,42
PENINSULA CLUB,Metro,Shire of Mornington Peninsula,Club,1257888.17,1142817.7,2400705.87,35
PENINSULA HOTEL MOTEL,Country,City of Greater Geelong,Hotel,2927401.78,2213553.9,5140955.68,55
PEPPERMILL INN HOTEL MOTEL,Country,City of Greater Shepparton,Hotel,1165983.47,1082397.49,2248380.96,20
PHILLIP ISLAND RSL,Country,Shire of Bass Coast,Club,3112213.38,3550423.32,6662636.699999999,58
PHOENIX HOTEL,Country,City of Greater Geelong,Hotel,1634167.13,1578478.86,3212645.99,28
PIER HOTEL,Metro,City of Frankston,Hotel,3231554.82,2567907.48,5799462.3,58
PINSENT HOTEL,Country,Rural City of Wangaratta,Hotel,2636905.23,1931190.43,4568095.66,44
PLAYERS HOTEL,Metro,City of Greater Dandenong,Hotel,1957221,1787930.02,3745151.02,25
