Name ,Region ,LGA Name,Venue type ,"Expenditure 1 Jul 24 - 31 Dec 24","Expenditure 1 Jan 25 - 30 Jun 25","Expenditure 01 Jul 24 - 30 Jun 25","Average EGM Numbers in June 2025"
CLUB ITALIA SPORTING CLUB,Metro,City of Brimbank,Club,3042970.58,2966751.5300000003,6009722.11,60
CLUB KILSYTH,Metro,City of Maroondah,Club,3994984.4699999997,4099992,8094976.47,105
CLUB LAVERTON,Metro,City of Hobsons Bay,Club,4190153.16,3632975.3699999996,7823128.529999999,60
CLUB LEEDS,Metro,City of Maribyrnong,Club,2614977.88,2328192.75,4943170.63,30
CLUB OFFICER,Metro,Shire of Cardinia,Club,3813937.1,3279883.88,7093820.98,60
CLUB RINGWOOD,Metro,City of Maroondah,Club,2639095.7399999998,2464510.7199999997,5103606.459999999,82
CLUB TARNEIT,Metro,City of Wyndham,Club,3108408.5900000003,3054370.75,6162779.34,70
COBDEN GOLF CLUB,Country,Shire of Corangamite,Club,564121.61,567168.2899999999,1131289.9,28
COBRAM HOTEL,Country,Shire of Moira,Hotel,1935382.1400000001,1984161.79,3919543.93,43
COLAC BOWLING CLUB,Country,Shire of Colac-Otway,Club,569143.9299999999,651884.84,1221028.77,20
COLAC RSL,Country,Shire of Colac-Otway,Club,433323.97,446528.18,879852.1499999999,25
COMMERCIAL HOTEL (CAMPERDOWN),Country,Shire of Corangamite,Hotel,1589088.83,1431696.6800000002,3020785.5100000002,29
COMMERCIAL HOTEL (SWAN HILL),Country,Rural City of Swan Hill,Hotel,1250030.4100000001,1103170.4200000002,2353200.83,14
COMMERCIAL TAVERNER,Metro,City of Wyndham,Hotel,9647693.06,8766965.27,18414658.33,75
COOLAROO TAVERNER,Metro,City of Hume,Hotel,3500170.9299999997,3447328.2800000003,6947499.21,47
CORRYONG SPORTING COMPLEX,Country,Shire of Towong,Club,244837.10000000003,206649.67,451486.77,10
COURT HOUSE HOTEL (BACCHUS MARSH),Country,Shire of Moorabool,Hotel,2923536.84,3073760.38,5997297.22,40
COURT HOUSE HOTEL (FOOTSCRAY),Metro,City of Maribyrnong,Hotel,1655639.21,1452117.45,3107756.66,21
COURT JESTER HOTEL,Metro,City of Stonnington,Hotel,4574563.11,3936503.79,8511066.9,48
CRAIGIEBURN SPORTING CLUB,Metro,City of Hume,Club,7473094.15,7344311.46,14817405.61,70
CRAIG'S ROYAL HOTEL,Country,City of Ballarat,Hotel,3248005.79,2854754.45,6102760.24,45
CRAMERS HOTEL,Metro,City of Darebin,Hotel,5802474.4,5411478.2,11213952.600000001,79
CRANBOURNE SILKS,Metro,City of Casey,Club,1800168.55,1928926.9,3729095.45,50
CROSS KEYS HOTEL,Metro,City of Moonee Valley,Hotel,2523747.63,2386164.21,4909911.84,40
CROWN HOTEL,Metro,Shire of Yarra Ranges,Hotel,3181548.25,2998200.93,6179749.18,68
CROXTON PARK HOTEL,Metro,City of Darebin,Hotel,2394110.12,2168225.46,4562335.58,54
CROYDON HOTEL,Metro,City of Maroondah,Hotel,5401046.619999999,4808839.180000001,10209885.8,105
CUMBERLAND HOTEL,Country,Shire of Mount Alexander,Hotel,1677974.96,1455408.6900000002,3133383.6500000004,30
DANDENONG CLUB,Metro,City of Greater Dandenong,Club,5599578.91,5100583.59,10700162.5,103
DANDENONG RSL,Metro,City of Greater Dandenong,Club,4729374.53,4686528.78,9415903.31,63
DANDENONG WORKERS SOCIAL CLUB,Metro,City of Greater Dandenong,Club,1153452.76,1045115.1799999999,2198567.94,77
DAREBIN RSL,Metro,City of Darebin,Club,2776055.55,2667505.0900000003,5443560.640000001,65
DAVA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1713981.1300000001,1614733.8000000003,3328714.9300000006,32
DAYLESFORD BOWLING CLUB,Country,Shire of Hepburn,Club,835135.22,776103.86,1611239.08,32
DEER PARK CLUB,Metro,City of Brimbank,Club,8693119.79,7851849.640000001,16544969.43,80
DEER PARK HOTEL,Metro,City of Brimbank,Hotel,10115250.92,9087935.940000001,19203186.86,80
DERRIMUT HOTEL,Metro,City of Brimbank,Hotel,4270272.130000001,4084325.42,8354597.550000001,55
DIAMOND CREEK HOTEL,Metro,Shire of Nillumbik,Hotel,3231222.21,2882660.69,6113882.9,50
DICK WHITTINGTON TAVERN,Metro,City of Port Phillip,Hotel,946392.77,944566.8800000001,1890959.6500000001,40
DINGLEY INTERNATIONAL HOTEL,Metro,City of Kingston,Hotel,8739649.74,7870031.809999999,16609681.549999999,90
DONCASTER HOTEL,Metro,City of Manningham,Hotel,8373382.47,7861805.67,16235188.14,85
DORSET GARDENS HOTEL,Metro,City of Maroondah,Hotel,10531440.96,9777807.030000001,20309247.990000002,97
DROMANA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2053880.72,2163390.5599999996,4217271.279999999,41
DRUMS HOTEL,Metro,City of Moreland,Hotel,5340088.69,4863542.01,10203630.7,75
DUKE OF EDINBURGH,Metro,City of Moreland,Hotel,3967545.84,3431320.61,7398866.449999999,50
EASTWOOD GOLF CLUB,Metro,City of Maroondah,Club,87905.44,59266.990000000005,147172.43,19
ECHUCA HOTEL,Country,Shire of Campaspe,Hotel,517271.12,463626.25,980897.37,30
ECHUCA WORKERS AND SERVICES CLUB,Country,Shire of Campaspe,Club,2301167.46,2379408.5999999996,4680576.06,84
EDITHVALE - CHELSEA RSL,Metro,City of Kingston,Club,2654891.04,2545593.6100000003,5200484.65,80
EDWARDES LAKE HOTEL,Metro,City of Darebin,Hotel,6955712.32,6964257.250000001,13919969.57,100
ELGIN'S,Country,Rural City of Wodonga,Hotel,3809981.21,3018415.9600000004,6828397.17,80
ELSTERNWICK HOTEL,Metro,City of Port Phillip,Hotel,951902.82,830899.25,1782802.0699999998,28
ELTHAM HOTEL,Metro,Shire of Nillumbik,Hotel,2000128.1599999997,1901301.3699999999,3901429.5299999993,40
EPPING HOTEL,Metro,City of Whittlesea,Hotel,5299964.6,5124417.199999999,10424381.799999999,40
EPPING PLAZA HOTEL,Metro,City of Whittlesea,Hotel,12756595.21,12590622.66,25347217.87,99
EPPING RSL,Metro,City of Whittlesea,Club,3176563.87,2841621.98,6018185.85,45
ESPLANADE HOTEL (INVERLOCH),Country,Shire of Bass Coast,Hotel,678180.3500000001,601571.5700000001,1279751.9200000002,14
ESSENDON FOOTBALL & COMMUNITY SPORTING C,Metro,City of Moonee Valley,Club,3180904.96,3157950.54,6338855.5,100
EXCELSIOR HOTEL,Metro,City of Whittlesea,Hotel,11533773.14,10443711.75,21977484.89,89
FAMILY HOTEL,Country,Shire of Baw Baw,Hotel,1877494.7,2038438.9000000001,3915933.6,28
FAWKNER RSL,Metro,City of Moreland,Club,708731.52,497023.14,1205754.6600000001,33
FERNTREE GULLY BOWLING CLUB,Metro,City of Knox,Club,506298.79999999993,439924.12,946222.9199999999,34
FERNTREE GULLY HOTEL,Metro,City of Knox,Hotel,2084821.4200000002,2060589.6900000002,4145411.1100000003,49
FIRST & LAST HOTEL,Metro,City of Moreland,Hotel,5634381.300000001,5639855.390000001,11274236.690000001,64
FLYING HORSE BAR AND BREWERY,Country,City of Warrnambool,Hotel,169890.5,180978.61,350869.11,8
FORESTERS ARMS HOTEL,Metro,City of Monash,Hotel,2279912.5900000003,2021170.59,4301083.180000001,46
FOSTER GOLF CLUB,Country,Shire of South Gippsland,Club,386232.29,417660.45,803892.74,25
FOUNTAIN GATE TAVERNER,Metro,City of Casey,Hotel,8356575.539999999,7990617.859999999,16347193.399999999,85
FRANKSTON RSL,Metro,City of Frankston,Club,6059448.44,5994764.46,12054212.9,82
FRECCIA AZZURRA CLUB,Metro,City of Kingston,Club,797768.21,957222.9099999999,1754991.1199999999,35
FURLAN CLUB,Metro,City of Darebin,Club,0,0,0,0
FYANSFORD HOTEL,Country,City of Greater Geelong,Hotel,1702486.8,1534352.9300000002,3236839.7300000004,39
GATEWAY HOTEL,Country,City of Greater Geelong,Hotel,3126060.48,3236290.43,6362350.91,50
GEELONG COMBINED LEAGUES CLUB,Country,City of Greater Geelong,Club,5339452.37,5167728.12,10507180.49,105
GEELONG RSL,Country,City of Greater Geelong,Club,3260257.15,3087349.8,6347606.949999999,72
GEORGE HOTEL,Country,City of Ballarat,Hotel,1043600.8599999999,930366.61,1973967.4699999997,28
GLADSTONE PARK HOTEL,Metro,City of Hume,Hotel,12309976.32,12237944.49,24547920.810000002,86
GLENGALA HOTEL,Metro,City of Brimbank,Hotel,5495556.25,5305649.54,10801205.79,50
GLENROY RSL,Metro,City of Moreland,Club,3275372.4899999998,3122823.2199999997,6398195.709999999,40
GOLDEN FLEECE HOTEL (MELTON),Metro,Shire of Melton,Hotel,4958293.989999999,4854818.920000001,9813112.91,45
GOLDEN NUGGET,Metro,City of Melbourne,Hotel,4084429.3,3558150.8600000003,7642580.16,60
GOLDEN POINT HOTEL,Country,City of Ballarat,Hotel,6973587.51,6693364.19,13666951.7,105
GOLF HOUSE HOTEL,Country,City of Ballarat,Hotel,1055071.0399999998,1073177.6199999999,2128248.6599999997,30
GORDON HOTEL,Country,Shire of Glenelg,Hotel,1085746.3,1095754.13,2181500.4299999997,23
GOULBURN VALLEY HOTEL,Country,City of Greater Shepparton,Hotel,3512743.5300000003,3383503.5,6896247.03,40
GRAND CENTRAL HOTEL (HAMILTON),Country,Shire of Southern Grampians,Hotel,2186128.38,2347398.73,4533527.109999999,40
GRAND HOTEL (FRANKSTON),Metro,City of Frankston,Hotel,3243197.13,3136669.23,6379866.359999999,64
GRAND HOTEL (MORNINGTON),Metro,Shire of Mornington Peninsula,Hotel,5325322.82,4876881.86,10202204.68,70
GRAND JUNCTION HOTEL,Country,City of Latrobe,Hotel,3377419.17,3012407.98,6389827.15,34
GRAND ON DEAKIN,Country,Rural City of Mildura,Hotel,725287.74,773304.4199999999,1498592.16,15
GRAND TERMINUS HOTEL,Country,Shire of East Gippsland,Hotel,1439348.18,1592859.01,3032207.19,24
GREAT WESTERN HOTEL,Country,City of Greater Geelong,Hotel,2145342.08,1935234.8000000003,4080576.8800000004,36
GREEN GULLY SOCCER CLUB,Metro,City of Brimbank,Club,2705625.3200000003,2903686.91,5609312.23,70
GREENSBOROUGH HOTEL,Metro,City of Banyule,Hotel,1202239.88,1076993.76,2279233.6399999997,30
GREENSBOROUGH RSL,Metro,City of Banyule,Club,3059343,2841182.0100000002,5900525.01,78
GREYHOUNDS ENTERTAINMENT,Metro,City of Greater Dandenong,Club,7844077.5,8237091.01,16081168.51,93
GROSVENOR HOTEL,Metro,City of Port Phillip,Hotel,396073.60000000003,443820.94999999995,839894.55,22
GROVEDALE HOTEL,Country,City of Greater Geelong,Hotel,6081591.960000001,5760101.359999999,11841693.32,80
HALLAM TAVERNER,Metro,City of Casey,Hotel,7793681.739999999,7564869.75,15358551.489999998,80
HAMPTON PARK TAVERN,Metro,City of Casey,Hotel,8454878.030000001,7577448.25,16032326.280000001,73
HARP OF ERIN HOTEL,Metro,City of Boroondara,Hotel,4066193.4899999998,3814857.3400000003,7881050.83,47
HEADQUARTERS TAVERN,Metro,City of Melbourne,Club,1420873.25,1717789.5399999998,3138662.79,80
HEALESVILLE RSL,Metro,Shire of Yarra Ranges,Club,1395936.8,1201800.08,2597736.88,50
HIGHETT RETURNED & SERVICES CLUB,Metro,City of Kingston,Club,1577444.6099999999,1542802.5499999998,3120247.1599999997,41
HIGHLANDS HOTEL,Metro,City of Hume,Hotel,10462434.27,9456090.35,19918524.619999997,80
HIGHPOINT TAVERNER,Metro,City of Maribyrnong,Hotel,4276410.9799999995,4132054.2800000003,8408465.26,70
HIGHWAYS SANDOWN,Metro,City of Greater Dandenong,Club,11120093.370000001,10487580.59,21607673.96,90
HILL TOP GOLF AND COUNTRY CLUB,Country,City of Greater Shepparton,Club,195874.29,171457.73,367332.02,10
HOGANS HOTEL,Country,Shire of Mitchell,Hotel,3700596.35,3393539.5,7094135.85,65
HOPPERS CROSSING CLUB,Metro,City of Wyndham,Club,3908059.56,3116196.42,7024255.98,91
HOPPERS CROSSING SPORTS CLUB,Metro,City of Wyndham,Club,3394953.81,3299808.1100000003,6694761.92,55
HORSHAM RSL,Country,Rural City of Horsham,Club,1428308.98,1267724.07,2696033.05,36
HORSHAM SPORTS & COMMUNITY CLUB,Country,Rural City of Horsham,Club,4106780.9699999997,4092254.07,8199035.039999999,83
HOTEL 520 ON SAYERS,Metro,City of Wyndham,Hotel,7417541.859999999,6574074.38,13991616.239999998,65
ITALIAN AUSTRALIAN SPORTING AND SOCIAL C,Country,City of Latrobe,Club,2467569.15,2208051.81,4675620.96,42
ITALIAN SPORTS CLUB OF WERRIBEE,Metro,City of Wyndham,Club,3984635.59,3270051.41,7254687,70
IVANHOE HOTEL,Metro,City of Banyule,Hotel,5578794.79,5309175.9399999995,10887970.73,100
JOKERS ON RYRIE,Country,City of Greater Geelong,Hotel,2198844.54,2262254.2800000003,4461098.82,47
JUNCTION HOTEL,Metro,City of Darebin,Hotel,2246590.06,2324692.7,4571282.76,46
KANGAROO FLAT SPORTS CLUB,Country,City of Greater Bendigo,Club,1573571.04,1593748.0299999998,3167319.07,60
KARINGAL BOWLING CLUB,Metro,City of Frankston,Club,1068819.8,1033032.8200000001,2101852.62,29
KEALBA HOTEL,Metro,City of Brimbank,Hotel,12957678.209999999,12117592.850000001,25075271.060000002,86
KEILOR EAST RSL,Metro,City of Moonee Valley,Club,1721500.4799999997,1602855.2200000002,3324355.7,39
KEILOR HOTEL,Metro,City of Brimbank,Hotel,3339979.61,3420617.04,6760596.65,50
KERANG SPORTS AND ENTERTAINMENT VENUE,Country,Shire of Gannawarra,Club,1227050.18,1145600.24,2372650.42,45
KEYSBOROUGH HOTEL,Metro,City of Greater Dandenong,Hotel,11989377.46,12119958.58,24109336.04,89
KILMORE TRACKSIDE,Country,Shire of Mitchell,Club,3590761.2100000004,3710135.9799999995,7300897.1899999995,76
KINGS CREEK HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2900678.9799999995,2706020.71,5606699.6899999995,33
KIRKPATRICKS HOTEL,Metro,Shire of Mornington Peninsula,Hotel,639921.9099999999,637530.57,1277452.48,40
KNOX CLUB,Metro,City of Knox,Club,4536190.930000001,4703573.87,9239764.8,100
KNOX TAVERN,Metro,City of Knox,Hotel,4328398.2700000005,4240075.84,8568474.11,77
KOORINGAL GOLF CLUB,Metro,City of Hobsons Bay,Club,2362723.6300000004,2128671.2,4491394.83,61
KORUMBURRA HOTEL,Country,Shire of South Gippsland,Hotel,1071086.8199999998,1021363.1099999999,2092449.9299999997,16
KYABRAM CLUB,Country,Shire of Campaspe,Club,2304484.3299999996,2388545.5300000003,4693029.859999999,65
KYNETON BOWLING CLUB,Country,Shire of Macedon Ranges,Club,1011423.96,966137.9600000001,1977561.92,25
KYNETON RSL,Country,Shire of Macedon Ranges,Club,1222557.96,1080943.52,2303501.48,28
LAKES ENTRANCE BOWLS CLUB,Country,Shire of East Gippsland,Club,2366992.72,2280989.46,4647982.18,63
LAKES ENTRANCE RSL,Country,Shire of East Gippsland,Club,1244253.49,1359701.1800000002,2603954.67,35
LAKESIDE CLUB,Country,Shire of Wellington,Club,421926.07999999996,495490.2,917416.28,33
LALOR BOWLING CLUB,Metro,City of Whittlesea,Club,1110298.26,965032.18,2075330.44,36
LANGWARRIN HOTEL,Metro,City of Frankston,Hotel,4900979.46,4305849.55,9206829.01,62
LARA HOTEL,Country,City of Greater Geelong,Hotel,1395113.07,1464700.8800000001,2859813.95,40
LARA SPORTING CLUB,Country,City of Greater Geelong,Club,1397031.9600000002,1401788.44,2798820.4000000004,50
LEONGATHA RSL,Country,Shire of South Gippsland,Club,1693003.66,1689024.76,3382028.42,44
LEOPOLD SPORTSMANS CLUB,Country,City of Greater Geelong,Club,2334857.93,2543052.6799999997,4877910.609999999,42
LINCOLNSHIRE ARMS HOTEL,Metro,City of Moonee Valley,Hotel,2153091.87,1997709.91,4150801.7800000003,38
LONG BEACH HOTEL,Metro,City of Kingston,Hotel,2771423.3200000003,2437833.6500000004,5209256.970000001,49
LORD OF THE ISLES TAVERN,Country,City of Greater Geelong,Hotel,3480376.09,3286190.5699999994,6766566.659999999,60
LORNE HOTEL,Country,Shire of Surf Coast,Hotel,332318.7,338838.24,671156.94,10
LOWER PLENTY HOTEL,Metro,City of Banyule,Hotel,4024024.7299999995,3749520.36,7773545.09,85
LYNBROOK HOTEL,Metro,City of Casey,Hotel,6500129.359999999,6625499.6899999995,13125629.049999999,55
MAC'S HOTEL (MELTON),Metro,Shire of Melton,Hotel,8458791.99,7862163.130000001,16320955.120000001,82
MAC'S HOTEL (WARRNAMBOOL),Country,City of Warrnambool,Hotel,2360956,2428442.14,4789398.140000001,31
MAFFRA COMMUNITY SPORTS CLUB,Country,Shire of Wellington,Club,2085045.6500000001,1830805.21,3915850.8600000003,35
MAGPIE AND STUMP HOTEL,Country,Shire of Mitchell,Hotel,371936.73,412336.66,784273.3899999999,24
MAIL EXCHANGE HOTEL,Metro,City of Melbourne,Hotel,7477488.76,7060261.6899999995,14537750.45,80
MALVERNVALE HOTEL,Metro,City of Stonnington,Hotel,1573927.16,1582774.81,3156701.9699999997,30
MANHATTAN HOTEL,Metro,City of Maroondah,Hotel,4876523.4399999995,4174532.0199999996,9051055.459999999,72
MANNINGHAM CLUB,Metro,City of Manningham,Club,1510016.8900000001,1529771.24,3039788.13,90
MANSFIELD GOLF CLUB,Country,Shire of Mansfield,Club,913689.0899999999,998461.96,1912151.0499999998,40
MARYBOROUGH GOLF CLUB,Country,Shire of Central Goldfields,Club,1091957.15,1044049.0399999998,2136006.1899999995,40
MARYBOROUGH HIGHLAND SOCIETY,Country,Shire of Central Goldfields,Club,3451311.95,3420068.4799999995,6871380.43,59
MATTHEW FLINDERS TAVERNER,Metro,City of Monash,Hotel,6303800.010000001,5998706.87,12302506.88,75
MCCARTINS HOTEL,Country,Shire of South Gippsland,Hotel,644903.28,617957.37,1262860.65,20
MCKINNON HOTEL,Metro,City of Glen Eira,Hotel,1822145.06,1661008.5899999999,3483153.65,45
MEADOW INN HOTEL,Metro,City of Hume,Hotel,5696731.03,5989733.75,11686464.780000001,70
MELTON COUNTRY CLUB,Metro,Shire of Melton,Club,4079233.85,3973127.25,8052361.1,90
MELTON ENTERTAINMENT PARK,Metro,Shire of Melton,Club,5596593.87,4953539.62,10550133.49,80
MENTONE RSL,Metro,City of Kingston,Club,256648.82,269990.5,526639.3200000001,25
MERBEIN CITIZENS CLUB,Country,Rural City of Mildura,Club,705997.66,684795.19,1390792.85,20
MIDLANDS GOLF CLUB,Country,City of Ballarat,Club,1413300.74,1395341.1199999999,2808641.86,32
MILDURA GATEWAY TAVERN,Country,Rural City of Mildura,Hotel,8044710.48,8382284.66,16426995.14,75
MILDURA GOLF CLUB,Country,Rural City of Mildura,Club,349373.52999999997,339930.42000000004,689303.95,20
MILDURA RSL,Country,Rural City of Mildura,Club,3766991.4800000004,4326133.779999999,8093125.26,45
MILDURA WORKING MANS SPORTS & SOCIAL CLU,Country,Rural City of Mildura,Club,4626248.82,4476191.08,9102439.9,67
MILLERS INN HOTEL,Metro,City of Hobsons Bay,Hotel,6888143.07,6642705.180000001,13530848.25,70
MITCHAM HOTEL,Metro,City of Whitehorse,Hotel,3305972.9800000004,3273542.19,6579515.17,60
