Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,City of Whittlesea,M26,Metro,Country
REGION SELECTION:,,Country,,,,,,,,,Shire of South Gippsland,C4,Country,
,,,,,,,,,,,Shire of Macedon Ranges,C45,Country,
STATISTIC,2023/24,2022/23,2021/2022,,,,,,,,Rural City of Horsham,C5,Country,
,,,,,,,,,,,Shire of Baw Baw,C6,Country,
Gaming Machine Expenditure,692624124.58,692017676.01,544796536.51,,,,,,,,Rural City of Wangaratta,C9,Country,
Adult Population  ,1368281.2763532493,1318996.0375971247,1299934.4400743095,,,,,,,,City of Melbourne,M1,Metro,
Workforce as at June ,905801,903822,820914,,,,,,,,City of Moreland,M10,Metro,
Unemployed as at June,30631,27376,26850,,,,,,,,City of Darebin,M11,Metro,
,,,,,,,,,,,City of Boroondara,M12,Metro,
,,,,,,,,,,,City of Whitehorse,M13,Metro,
,,,,,,,,,,,City of Manningham,M14,Metro,
,,,,,,,,,,,City of Banyule,M15,Metro,
,,,,,,,,,,,City of Maroondah,M17,Metro,
,,,,,,,,,,,City of Knox,M18,Metro,
,,,,,,,,,,,City of Monash,M19,Metro,
,,,,,,,,,,,City of Port Phillip,M2,Metro,
,,,,,,,,,,,City of Kingston,M20,Metro,
,,,,,,,,,,,City of Greater Dandenong,M21,Metro,
,,,,,,,,,,,City of Frankston,M22,Metro,
,,,,,,,,,,,City of Casey,M23,Metro,
,,,,,,,,,,,Shire of Cardinia,M24,Metro,
,,,,,,,,,,,Shire of Yarra Ranges,M25,Metro,
,,,,,,,,,,,City of Hume,M27,Metro,
,,,,,,,,,,,City of Brimbank,M28,Metro,
,,,,,,,,,,,Shire of Melton,M29,Metro,
,,,,,,,,,,,City of Hobsons Bay,M3,Metro,
,,,,,,,,,,,City of Wyndham,M30,Metro,
,,,,,,,,,,,Shire of Mornington Peninsula,M31,Metro,
,,,,,,,,,,,City of Yarra,M4,Metro,
,,,,,,,,,,,City of Maribyrnong,M5,Metro,
,,,,,,,,,,,City of Stonnington,M6,Metro,
,,,,,,,,,,,City of Glen Eira,M7,Metro,
,,,,,,,,,,,City of Bayside,M8,Metro,
,,,,,,,,,,,City of Moonee Valley,M9,Metro,
,,,,,,,,,,,Shire of Buloke,C7,Country,
,,,,,,,,,,,Shire of Golden Plains,C32,Country,
,,,,,,,,,,,Shire of Hindmarsh,C8,Country,
,,,,,,,,,,,Shire of Indigo,C35,Country,
,,,,,,,,,,,Shire of Loddon,C46,Country,
,,,,,,,,,,,Shire of Moyne,C36,Country,
,,,,,,,,,,,Shire of Pyrenees,C44,Country,
,,,,,,,,,,,Shire of West Wimmera,C39,Country,
,,,,,,,,,,,Shire of Yarriambiack,C40,Country,
