LGA Name,LGA,Region,TOTAL Net Expenditure ($),SEIFA DIS Score, SEIFADIS Rank State,SEIFA DIS RANK COUNTRY,SEIFA DIS RANK METRO,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State,SEIFA ADVDIS RANK COUNTRY,SEIFA ADVDIS RANK METRO,Adult Population 2022,Adults per Venue 2022,"EGMs per 1,000 Adults 2022",EXP per Adult 2022,Unemployed Workforce as at June 2022,as at June 2022,Unemployment rate as at June 2022
SHIRE OF SOUTHERN GRAMPIANS,C37,Country,5808822.56,992,37,32,0,969,34,31,0,12697.442981287852,6348.721490643926,5.906701066547577,457.47971214050165,8235,254,0.030843958712811172
Shire of Wellington,C12,Country,20999867.27,974,25,21,0,954,24,21,0,35517.365044106766,5073.9092920152525,8.953366884201458,591.2563402133462,20357,863,0.04239327995284178
Rural City of Wodonga,C15,Country,9192349.56,977,27,23,0,957,25,23,0,34363.9767507823,11454.658916927432,4.1613344415018725,267.49958617029785,22986,728,0.031671452188288526
City of Warrnambool,C16,Country,18449318.05,986,34,30,0,961,29,27,0,28027.212669790257,3503.401583723782,8.349028594349734,658.2644613064217,18478,511,0.02765450806364325
City of Greater Bendigo,C19,Country,45975301.00999999,981,31,27,0,961,30,26,0,95456.47678416847,8677.861525833498,6.9350977775642475,481.6362656454657,62636,2646,0.04224407688869021
City of Ballarat,C20,Country,51177397.900000006,980,29,26,0,965,32,29,0,89401.65494347083,6385.832495962202,7.237002496308393,572.4435183259164,57071,2301,0.04031820013667187
Rural City of Swan Hill,C23,Country,8307399.76,947,11,10,0,934,14,11,0,16109.06906960134,4027.267267400335,9.870216541565481,515.6970725065981,10699,299,0.027946537059538274
City of Greater Shepparton,C24,Country,32827395.8,948,14,11,0,937,18,14,0,52362.04864557154,6545.256080696443,6.283176623339102,626.9310817497271,30616,761,0.02485628429579305
Rural City of Mildura,C27,Country,29180379.62,935,5,3,0,921,5,3,0,44293.81140181471,5536.726425226839,6.344001365131732,658.7913457094028,28217,1108,0.039267108480703125
Shire of East Gippsland,C28,Country,23643779.68,958,19,16,0,937,16,16,0,39311.191621400176,3931.1191621400176,8.445432109955838,601.4516147897391,19901,1047,0.05261042158685493
Shire of Bass Coast,C29,Country,14665494.59,967,22,19,0,945,21,19,0,30905.79778160402,6181.159556320804,6.891910751023663,474.5224405347435,16745,680,0.04060913705583756
City of Latrobe,C30,Country,39035645.81,931,4,2,0,916,3,2,0,60552.77204983609,4657.905542295083,8.620579741095652,644.6549759583743,34603,2272,0.06565904690344768
Shire of Surf Coast,C33,Country,3378700.17,1077,76,48,0,1064,70,47,0,27418.00796377833,9139.33598792611,3.2460418028026345,123.22923585344232,21071,242,0.011484979355512315
Shire of South Gippsland,C4,Country,6366275.309999999,990,35,31,0,965,33,30,0,23986.136935627612,5996.534233906903,4.377528581688329,265.414782175445,13675,357,0.02610603290676417
Shire of Macedon Ranges,C45,Country,7741945.739999999,1060,71,46,0,1047,66,46,0,40040.22852228981,13346.74284076327,2.5724128907671293,193.35418467180253,27996,585,0.020895842263180454
Rural City of Horsham,C5,Country,8918822.77,980,30,25,0,958,27,24,0,15508.67584537064,5169.558615123547,9.865445736662984,575.0860266166618,10589,291,0.02748134856927
Shire of Baw Baw,C6,Country,15653601.5,997,46,40,0,976,40,36,0,43658.428281287444,10914.607070321861,5.42850508664741,358.5470690595001,26399,780,0.029546573733853554
Rural City of Wangaratta,C9,Country,8688279.889999999,983,32,28,0,962,31,28,0,23497.925663730515,5874.481415932629,6.553769988203761,369.74667527400175,15295,391,0.02556390977443609
City of Melbourne,M1,Metro,61112470.65,1010,52,0,11,1071,72,0,23,190806.24101093304,19080.624101093304,3.757738720710485,320.2854913246695,109728,5506,0.05017862350539516
City of Moreland,M10,Metro,46210631.849999994,1014,54,0,12,1026,61,0,15,159490.76282714738,13290.896902262282,4.012771577835,289.7386095023075,109428,5527,0.05050809664802427
City of Darebin,M11,Metro,63516201.14999999,1004,50,0,9,1020,60,0,13,139795.87582832345,11649.656319026953,5.307738841389099,454.349606336035,93314,4330,0.04640246908288145
City of Boroondara,M12,Metro,13129434.809999999,1097,78,0,30,1128,80,0,31,149258.28679779693,37314.57169944923,1.0853668729258867,87.96452841366654,105214,2998,0.028494306841294885
City of Whitehorse,M13,Metro,39610147.31,1049,69,0,23,1063,69,0,22,148294.7302543216,24715.788375720265,2.8996310203509,267.104213629639,95340,4084,0.04283616530312566
City of Manningham,M14,Metro,44169839.07,1066,72,0,25,1076,73,0,24,106089.71993781874,15155.674276831249,4.920363634723086,416.3441952329482,68669,2859,0.04163450756527691
City of Banyule,M15,Metro,39933306.92,1055,70,0,24,1055,67,0,20,104915.76603865335,11657.30733762815,6.052474513373438,380.62255491026644,73003,1979,0.02710847499417832
City of Maroondah,M17,Metro,45922626.480000004,1045,66,0,20,1034,63,0,17,95503.84919300317,11937.981149125397,6.701300580111988,480.8458179229534,62450,2118,0.033915132105684545
City of Knox,M18,Metro,56216977.910000004,1048,68,0,22,1032,62,0,16,132337.94100175312,12030.721909250284,5.795767972465579,424.79864417155534,87288,2940,0.033681605718999176
City of Monash,M19,Metro,84931441.71000001,1045,67,0,21,1060,68,0,21,171021.9513427444,11401.463422849627,5.584078491106023,496.61134750935713,106129,3668,0.034561712632739404
City of Port Phillip,M2,Metro,20898871.63,1069,73,0,26,1101,77,0,28,106099.93770151137,10609.993770151137,3.553253735743049,196.97345806926236,81248,3155,0.03883172508861757
City of Kingston,M20,Metro,62540617.510000005,1044,65,0,19,1042,64,0,18,134845.91147579724,8427.869467237328,6.770691005814213,463.79320533737564,92630,3151,0.034017057108927995
City of Greater Dandenong,M21,Metro,102478691.05,896,2,0,1,915,2,0,1,139107.51804923126,9936.251289230804,6.642344087204467,736.6869345892001,82884,7080,0.08542058780946865
City of Frankston,M22,Metro,49706086.400000006,1001,48,0,7,981,46,0,5,114502.20673914408,12722.467415460453,4.532663734441138,434.10592525294385,76193,3483,0.04571286076148728
City of Casey,M23,Metro,114664060.25999999,1004,49,0,8,991,50,0,7,284735.65812813275,21902.742932933288,3.2029708045544285,402.7035497197912,212327,13134,0.061857418039156585
Shire of Cardinia,M24,Metro,24313333.94,1021,59,0,14,996,52,0,8,92419.49203093819,18483.898406187636,3.732978751760596,263.0758231376224,70713,3977,0.056241426611796985
Shire of Yarra Ranges,M25,Metro,21873008.93,1040,64,0,18,1017,57,0,11,125754.9576573312,13972.773073036798,3.5465798590247415,173.9335715861128,84669,2894,0.03418016038928061
City of Hume,M27,Metro,104550447.16000001,947,13,0,3,947,22,0,3,189743.56873311952,13553.112052365681,4.3901356212586125,551.0091744245287,124004,10778,0.08691655107899746
City of Brimbank,M28,Metro,128396442.01,921,3,0,2,930,7,0,2,168274.76066753006,11218.317377835338,5.663356740009845,763.0166371989683,102646,6849,0.06672447051029752
Shire of Melton,M29,Metro,61122751.25999999,994,40,0,5,981,45,0,4,135251.73977781777,19321.677111116824,3.8668633827494445,451.91841051662794,91800,5179,0.0564161220043573
City of Hobsons Bay,M3,Metro,34829848.629999995,1015,55,0,13,1020,59,0,14,78369.12461252787,8707.680512503097,6.826668061499265,444.4332994939718,52888,1859,0.035149750415973374
City of Wyndham,M30,Metro,87520355.84,1009,51,0,10,1002,54,0,9,220298.8530709441,16946.065620841855,4.07174157965831,397.28012479400115,161667,7207,0.04457928952723809
Shire of Mornington Peninsula,M31,Metro,67412975.05,1030,60,0,15,1013,56,0,10,138058.2128998855,8121.071347052088,5.939523500819415,488.29384093857055,83882,2531,0.03017333873775065
City of Yarra,M4,Metro,23037269.579999994,1035,63,0,17,1081,74,0,25,93072.52763448507,13296.075376355011,3.0943610033997913,247.51954379569537,73318,3153,0.04300444638424398
City of Maribyrnong,M5,Metro,50134080.440000005,995,43,0,6,1019,58,0,12,84687.87444266795,9409.763826963106,5.549790959958274,591.986524280283,54220,2547,0.04697528587237182
City of Stonnington,M6,Metro,15247317.24,1087,77,0,28,1120,78,0,29,105540.55251112278,21108.110502224554,2.3119075482789913,144.46880253344426,75036,1875,0.024988005757236528
City of Glen Eira,M7,Metro,51391551.21000001,1074,74,0,27,1092,75,0,26,125896.55182055678,12589.655182055678,5.8698986534064375,408.2045970826076,87712,2277,0.02595995986866107
City of Bayside,M8,Metro,10161035.99,1097,79,0,29,1125,79,0,30,86049.46588065421,17209.89317613084,2.417214306576689,118.08366136859917,57228,1118,0.019535891521632768
City of Moonee Valley,M9,Metro,62465544.32,1035,62,0,16,1046,65,0,19,109575.02303901716,9961.365730819742,6.808120859206814,570.0710124218496,77031,3117,0.040464228687151924
Shire of Buloke,C7,Country,,967,24,20,0,949,23,20,0,4840.840813913033,0,0,0,2893,81,0.02799861735222952
Shire of Golden Plains,C32,Country,,1035,61,45,0,1004,55,45,0,18641.69776291898,0,0,0,13413,258,0.019235070454037127
Shire of Hindmarsh,C8,Country,,945,10,8,0,931,10,8,0,4439.436222685925,0,0,0,2690,92,0.03420074349442379
Shire of Indigo,C35,Country,,1016,57,43,0,995,51,43,0,13451.442919545647,0,0,0,9135,139,0.015216201423097975
Shire of Loddon,C46,Country,,942,9,7,0,932,12,10,0,6115.857821525587,0,0,0,3530,205,0.05807365439093484
Shire of Moyne,C36,Country,,1016,58,44,0,998,53,44,0,13295.756750088032,0,0,0,9084,186,0.02047556142668428
Shire of Pyrenees,C44,Country,,952,17,14,0,937,17,15,0,6103.587625751833,0,0,0,3278,142,0.043319097010372176
Shire of West Wimmera,C39,Country,,985,33,29,0,977,41,37,0,2917.078446662562,0,0,0,1986,40,0.02014098690835851
Shire of Yarriambiack,C40,Country,,941,7,5,0,932,11,9,0,5171.875933052041,0,0,0,2938,103,0.03505786249149081
,,,,,,,,,,,,,,,,,,
Metro,,,1692407368.49,,,,,,,,,4168853.549121216,13713.334043161894,4.480848218795716,405.96469713999795,2819571,127935,0.04537392390544519
Country,,,544796536.51,,,,,,,,,1299934.4400743095,7103.466885651965,5.923375643128462,419.0953941329974,820914,26850,0.03270744560331533
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Victoria,,,2237203905,78815,3219,1176,496,78159,3204,1176,496,5468787.989195525,11229.544125658162,4.8237379200140795,409.0858723029597,3640485,154785,0.04251768651704375
,,,,,,,,,,,,,,,,,,
Published: 25 November 2022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Pls note that in 2014, the ABS updated the boundaries on which its regional labour force estimates are based to align them with those used in the most recent Census",,,,,,,,,,,,,,,,,,
Pls note that Porpulation Projection data is based on Victoria In Future 2019 forecast. This will be updated once the latest edition is available.,,,,,,,,,,,,,,,,,,
